time,base_acceleration,integrated_base_velocity
2.258000000000000185e+01,-4.140640492085605473e-01,1.532021916248427207e-01
2.258999999999999986e+01,-4.241000497897875476e-01,1.493524804461038302e-01
2.260000000000000142e+01,-4.337059905792166603e-01,1.454045595605100161e-01
2.260999999999999943e+01,-4.428780061904102894e-01,1.413627488929146692e-01
2.262000000000000099e+01,-4.516126532601152377e-01,1.372314049119134349e-01
2.262999999999999901e+01,-4.599069095497547721e-01,1.330149164141167795e-01
2.264000000000000057e+01,-4.677581726646522498e-01,1.287177003192959690e-01
2.265000000000000213e+01,-4.751642583954236443e-01,1.243441974802467209e-01
2.266000000000000014e+01,-4.821233986864754684e-01,1.198988685110901065e-01
2.267000000000000171e+01,-4.886342392367364340e-01,1.153861896377251783e-01
2.267999999999999972e+01,-4.946958367381331101e-01,1.108106485741037206e-01
2.269000000000000128e+01,-5.003076557576218164e-01,1.061767404278762816e-01
2.269999999999999929e+01,-5.054695652688590002e-01,1.014889636389966210e-01
2.271000000000000085e+01,-5.101818348399387304e-01,9.675181595470372375e-02
2.271999999999999886e+01,-5.144451304838018046e-01,9.196979044433806205e-02
2.273000000000000043e+01,-5.182605101783597235e-01,8.714737155727847462e-02
2.274000000000000199e+01,-5.216294190634496175e-01,8.228903122732045272e-02
2.275000000000000000e+01,-5.245536843221518808e-01,7.739922502664531301e-02
2.276000000000000156e+01,-5.270355097541585820e-01,7.248238837251486100e-02
2.276999999999999957e+01,-5.290774700491116533e-01,6.754293278975143089e-02
2.278000000000000114e+01,-5.306825047681318352e-01,6.258524223191630487e-02
2.278999999999999915e+01,-5.318539120418765975e-01,5.761366946411927703e-02
2.280000000000000071e+01,-5.325953419937459188e-01,5.263253251019228696e-02
2.280999999999999872e+01,-5.329107898970075752e-01,4.764611116699135618e-02
2.282000000000000028e+01,-5.328045890748054347e-01,4.265864358838333814e-02
2.283000000000000185e+01,-5.322814035522061005e-01,3.767432294149952732e-02
2.283999999999999986e+01,-5.313462204695831304e-01,3.269729413764355108e-02
2.285000000000000142e+01,-5.300043422667783943e-01,2.773165064021276827e-02
2.285999999999999943e+01,-5.282613786476613171e-01,2.278143135189358848e-02
2.287000000000000099e+01,-5.261232383348026787e-01,1.785061758323225334e-02
2.287999999999999901e+01,-5.235961206241075416e-01,1.294313010469061442e-02
2.289000000000000057e+01,-5.206865067493531285e-01,8.062826284074398053e-03
2.290000000000000213e+01,-5.174011510667160252e-01,3.213497311245316901e-03
2.291000000000000014e+01,-5.137470720693890769e-01,-1.601134488182331950e-03
2.292000000000000171e+01,-5.097315432425073567e-01,-6.377418248490696051e-03
2.292999999999999972e+01,-5.053620837687180511e-01,-1.111177706729382653e-02
2.294000000000000128e+01,-5.006464490946029855e-01,-1.580071041535935361e-02
2.294999999999999929e+01,-4.955926213684840320e-01,-2.044079645142193868e-02
2.296000000000000085e+01,-4.902087997598698621e-01,-2.502869424081266558e-02
2.296999999999999886e+01,-4.845033906710902727e-01,-2.956114587671454519e-02
2.298000000000000043e+01,-4.784849978514511548e-01,-3.403497850307601880e-02
2.299000000000000199e+01,-4.721624124244403475e-01,-3.844710623820435380e-02
2.300000000000000000e+01,-4.655446028383334323e-01,-4.279453199826532828e-02
2.301000000000000156e+01,-4.586407047506373402e-01,-4.707434921995901078e-02
2.301999999999999957e+01,-4.514600108567634607e-01,-5.128374348174324915e-02
2.303000000000000114e+01,-4.440119606731958157e-01,-5.541999402314190526e-02
2.303999999999999915e+01,-4.363061302855104628e-01,-5.948047516168253335e-02
2.305000000000000071e+01,-4.283522220713784634e-01,-6.346265760721581106e-02
2.305999999999999872e+01,-4.201600544087931155e-01,-6.736410967336392552e-02
2.307000000000000028e+01,-4.117395513794619433e-01,-7.118249838605372748e-02
2.308000000000000185e+01,-4.031007324774602552e-01,-7.491559048908713603e-02
2.308999999999999986e+01,-3.942537023329268919e-01,-7.856125334688646156e-02
2.310000000000000142e+01,-3.852086404605845615e-01,-8.211745574460271868e-02
2.310999999999999943e+01,-3.759757910427694583e-01,-8.558226858586670538e-02
2.312000000000000099e+01,-3.665654527564257137e-01,-8.895386548861139442e-02
2.312999999999999901e+01,-3.569879686535006869e-01,-9.223052327940839401e-02
2.314000000000000057e+01,-3.472537161039195297e-01,-9.541062238694397735e-02
2.315000000000000213e+01,-3.373730968103032524e-01,-9.849264713526373338e-02
2.316000000000000014e+01,-3.273565269032854275e-01,-1.014751859375793153e-01
2.317000000000000171e+01,-3.172144271262062887e-01,-1.043569313914752827e-01
2.317999999999999972e+01,-3.069572131178421870e-01,-1.071366802764429638e-01
2.319000000000000128e+01,-2.965952858014375693e-01,-1.098133334547879425e-01
2.319999999999999929e+01,-2.861390218884096726e-01,-1.123858956769847595e-01
2.321000000000000085e+01,-2.755987645046111822e-01,-1.148534752926982927e-01
2.321999999999999886e+01,-2.649848139471053798e-01,-1.172152838687045007e-01
2.323000000000000043e+01,-2.543074185789500063e-01,-1.194706357150833176e-01
2.324000000000000199e+01,-2.435767658694842908e-01,-1.216189473210739225e-01
2.325000000000000000e+01,-2.328029735872618744e-01,-1.236597367021051719e-01
